key	value
coRiverLifeline7	"Provide habitat for a wide range of species, including <a href=""http://www.fws.gov/endangered/esa-library/pdf/ESA_basics.pdf"" target=""_blank"">threatened and endangered</a> species, as well as other species of wildlife and vegetation."
coRiverLifeline8	"Bureau of Reclamation, 2012. <a href=""http://www.usbr.gov/lc/region/programs/crbstudy/finalreport/Study%20Report/CRBS_Study_Report_FINAL.pdf"" target=“_blank"">Colorado River Basin Water Supply and Demand Study/a>. "
suppInfo	Supporting Info
mainMessage5	"One river, two parts."
basinDivided1	"Approximately 1,400 miles long, flowing through seven states and Mexico, the Colorado River drains roughly one-twelfth of the land area of the contiguous United States.  The Colorado River Basin is divided into Upper and Lower Basins at the Lee Ferry <a href=""http://www.usbr.gov/lc/region/g1000/pdfiles/crcompct.pdf"" target=“_blank"">Colorado River Compact</a> Point (Compact Point) located in northern Arizona. The Upper Basin spans portions of Wyoming, Colorado, New Mexico, Utah, and northern Arizona, and the Lower Basin spans portions of Nevada, Arizona, California, and western New Mexico. The Colorado River also supplies water to portions of northwestern Mexico, in the states of Baja California and Sonora."
basinDivided2	"The Upper Colorado River Basin supplies approximately 90 percent of the water for the entire Basin. This water originates as precipitation and snowmelt in the Rocky and Wasatch Mountains. About 50 percent of streamflow comes from baseflow, which is surface water that has percolated into groundwater aquifers then resurfaced as streamflow (Rumsey et al., 2015). The Lower Basin is arid, with little tributary runoff reaching the mainstream of the Colorado River except during occasional rain events.   "
basinDivided3	"The Lower Basin is dependent upon managed use of the Colorado River system to make its land habitable and productive. Colorado River water is also delivered to areas that lie outside the Basin’s hydrologic boundary, including parts of southern California, the east side of the Front Range in Colorado, and the west side of the Wasatch Range in Utah. In addition, federally recognized tribes hold a significant amount of quantified and unquantified federal reserved water rights to the Colorado River and its tributaries (approximately 2.9 million acre-feet of annual diversion rights)."
basinDivided4	"Resources and facilities in the Colorado River Basin are managed to accomplish their project goals in a manner fully consistent with applicable provisions of Federal law including the <a href=""http://www.usbr.gov/lc/region/g1000/lawofrvr.html"" target=“_blank"">Law of the River</a> and other project-specific operational guidelines. The Law of the River includes operating criteria, regulations, administrative decisions, Federal statutes, interstate compacts, court decisions and decrees, an international treaty, and contracts with the Secretary of the U.S. Department of the Interior (Secretary), and defines the responsibilities of the Secretary’s water master role in the Lower Basin."
basinDivided5	"Rumsey, C.A., et al. 2015. ""<a href=""http://water.usgs.gov/watercensus/file/Rumsey-et-al_2015.pdf"" target=""_blank"">Regional scale estimates of baseflow and factors influencing baseflow in the Upper Colorado River Basin</a>."" Journal of Hydrology: Regional Studies 4: 91-107."
basinDivided6	"Learn about the Colorado River Basin’s network of reservoirs, water delivery infrastructure, and water delivery service areas."
readMore	Read More >>
explore	Explore
mainMessage2	"The Colorado River is managed with a series of dams and canals that provide flood control, water conservation, and hydropower benefits."
blueDragon1	"The dams and canals in the Colorado River system provide storage for regional water supply, facilitate water deliveries, provide flood control benefits, improve navigation, and generate hydroelectric power. These facilities are operated in coordination with adjacent or nearby water delivery systems that also provide a variety of other economic, cultural, and ecologic benefits."
blueDragon2	"In addition to providing storage for regional water supply and facilitating water deliveries, the dams and reservoirs in the Colorado River system also provide flood control benefits, improve navigation, and allow for the generation of hydroelectric power. The construction of these facilities have allowed for the development adjacent or nearby water delivery systems and management supports ancillary benefits such as other economic, cultural, and ecologic services."
blueDragon3	"In the Lower Basin, Hoover Dam was constructed to control floods, improve navigation and regulate the river’s flow, provide water storage and delivery, and generate electric energy. Davis Dam and Parker Dam were constructed to regulate water released from Hoover Dam. Near the southern end of the system, Imperial Dam serves as the last diversion dam on the Colorado River for the United States, with Morelos Dam diverting Colorado River water in Mexico.  "
blueDragon4	"Water is released from these facilities to satisfy delivery commitments to users in Nevada, California, Arizona and Mexico, and to generate hydropower with these water releases. Pumping facilities located on Lake Havasu behind Parker Dam divert water to the Metropolitan Water District of Southern California and Central Arizona Project.  From Imperial Dam’s headworks, water is diverted into the All-American Canal on the California side of the dam and into the Gila Gravity Main Canal on the Arizona side of the dam. These diversions provide water to the Gila Project, the Yuma Project, the Imperial Irrigation District, the Coachella Valley Water District, and the City of Yuma, and to the Northerly International Boundary (NIB) for diversion at Morelos Dam in Mexico. "
blueDragon5	"The diagram above depicts the major dams, reservoirs, and control structures of the Lower Colorado River."
blueDragon6	Click here for a PDF version of the Operational Diagram.
blueDragon7	USGS Texas Water Science Center App
blueDragon8	View realtime data and take a journey through major dams on the Lower Colorado River.
blueDragonHint	Hover over sections of the diagram above to take a closer look
mainMessageDirt	The western U.S. is experiencing an extended drought.
dygraphsSection1	"Since 2000, the Colorado River Basin has experienced the driest 16-year period in over 100 years of historical natural flows (Bureau of Reclamation, 2015) and one of the most severe droughts in the last 1,200 years (Meko et al., 2007a and 2007b). The most extreme drought in the reconstructed flow record was 13 years of below-normal flow, which occurred between 1143 to 1155 (Meko, 2007a). In comparison, the current 16-year drought consists of a dry period with flows both above and below normal; the longest period of below-average flows in the current drought is five years from 2000 to 2004. "
dygraphsSection2	"Bureau of Reclamation, 2015. <a href=""http://www.usbr.gov/lc/region/g4000/NaturalFlow/index.html"" target=""_blank"">Colorado River Basin Natural Flow and Salt Data website</a>."
dygraphsSection3	"Meko, D.M., et al. 2007a. <a href=""ftp://ftp.ncdc.noaa.gov/pub/data/paleo/treering/reconstructions/northamerica/usa/upper-colorado-flow2007.txt"" target=""_blank"">Upper Colorado River Flow Reconstruction</a>. IGBP PAGES/World Data Center for Paleoclimatology. Data Contribution Series # 2007-052. NOAA/NCDC Paleoclimatology Program, Boulder CO, USA."
dygraphsSection4	"Meko, D.M., C.A. Woodhouse, C.H. Baisan, T. Knight, J.J. Lukas, M.K. Hughes, and M.W. Salzer. 2007b. <a href=""http://onlinelibrary.wiley.com/doi/10.1029/2007GL029988/pdf"" target=""_blank"">Medieval drought in the upper Colorado River Basin</a>. Geophysical Research Letters, Vol. 34, L10705."
dygraphsSection5	"The <a href=""http://droughtmonitor.unl.edu/"" target=""_blank"">U.S. Drought Monitor</a> shows the extent and intensity of drought conditions in the Western U.S. from 2000 to 2015."
dygraphsSection6	U.S. Drought Monitor
waterSupplyVariableOverTime	Water supply varies over time.
waterSupplyVariableContent1	"Due to year-to-year differences in precipitation and snowmelt, the natural water supply of the Basin is highly variable. Long-term drought like the Basin has experienced since 2000 reflects natural climate variability coupled with the likely impacts from <a href=""http://www.usbr.gov/lc/region/programs/crbstudy/finalreport/Study%20Report/CRBS_Study_Report_FINAL.pdf"" target=“_blank"">changing climate</a>. Since most of the Basin’s water supply comes from the Upper Basin, drought conditions in the Upper Basin impact water supply and resources in both the Upper and Lower Basins. "
waterSupplyVariableContent2	"The U.S. Geological Survey (USGS) stream gage at Lees Ferry, Arizona is the lowermost mainstream gage in the Upper Basin, located about 12 miles downstream of Glen Canyon Dam and about one mile upstream of the Compact Point between the Upper and Lower Basins. Natural flow at this gage location is used as a proxy for the hydrologic conditions in the Upper Basin and the overall hydrologic health of the Basin. Natural flow is defined as the streamflow that would have otherwise occurred without the effects of human activities such as reservoir regulation and river diversions."
waterSupplyVariableContent3	"In the graphic above, the 10-year average <a href=""http://www.usbr.gov/lc/region/g4000/NaturalFlow/documentation.html"">natural flow</a> at Lees Ferry shows periods of below and above average annual flow (approximately 14.8 million acre feet [maf]). The most recent drought for the 2000-2015 period (indicated by the brown shaded area) was the driest 16-year period in the past 100 years and one of the driest 16-year periods in the past 1,200 years. The graphic also depicts how the early part of the 1900s, which corresponds to the period of reference used to set the apportionments for the Upper and Lower Basins in the <a href=""http://www.usbr.gov/lc/region/g1000/pdfiles/crcompct.pdf"" target=""_blank"">1922 Colorado River Compact</a>, was an unusually wet period (indicated by the green shaded area). At the time the 1922 Colorado River Compact was signed, the average annual inflow at Lees Ferry during the pre-Compact period (1906-1921) was approximately 18.0 maf."
waterSupplyVariableContent4	"Historical observations are extended by a <a href=""{{baseUrl}}/treeringdata/index.html"" target=""_blank"">tree-ring reconstruction</a> of streamflow going back approximately 1,200 years, as estimated by Meko et al. (2007a). Because trees grow less during dry years and more during wet years, tree-ring cores can be used to estimate historical streamflow conditions going back many centuries. Tree-ring core samples were collected from locations throughout the Upper Basin to estimate historical natural flow. These estimates were validated using the observed natural flow record developed by Reclamation. "
waterSupplyVariableContent5	Tree ring data thumbnail
waterSupplyVariableContent6	Explore more about reconstructed natural flow based on tree-ring data.
waterSupplyVariableContent7	"Above are historical images of the USGS Lees Ferry stream gage reproduced from  <a href=""http://pubs.usgs.gov/pp/pp1677/pdf/pp1677.pdf"" target=""_blank"">Topping et al. (2003)</a>. (A) View downstream from Number 1 Gage, taken from the right bank of the Colorado River. At the time of this photograph on September 21, 1923, the river stage was 11.05 feet and discharge was 27,000 cubic feet per second. (Photo credit: G.C. Stevens of the USGS). (B) View from the edge of the dugway road downstream of the gage, September 22, 1923. (Photo credit: G.C. Stevens of the USGS.)
"
waterSupplyVariableContent8	"USGS observations of the Colorado River at Lees Ferry have been recorded since 1895. For more information and data, visit the USGS  <a href=""http://waterdata.usgs.gov/nwis/wys_rpt/?site_no=09380000&agency_cd=USGS"" target=""_blank"">National Water Information System</a>. Real-time gage height, discharge, water temperature, and water quality parameters can be accessed from the USGS <a href=""http://www.gcmrc.gov/discharge_qw_sediment/station/GCDAMP/09380000"" target=""_blank"">Grand Canyon Monitoring and Research Center website</a>."
waterSupplyVariableContent9	1922 Colorado River Compact
waterSupplyVariableContent10	"Bureau of Reclamation. 1922. <a href=""http://wwa.colorado.edu/resources/colorado-river/docs/compact/meeting19andforeward.pdf"" target=""_blank"">Minutes of the 19th meeting of the Colorado River Commission</a>."
waterSupplyVariableContent11	"Bureau of Reclamation, 2015. <a href=""http://www.usbr.gov/lc/region/g4000/NaturalFlow/"" target=""_blank"">Natural Flow and Salt Data</a>."
waterSupplyVariableContent12	"Meko, D.M., C.A. Woodhouse, C.H. Baisan, T. Knight, J.J. Lukas, M.K. Hughes, and M.W. Salzer, 2007. <a href=""http://onlinelibrary.wiley.com/doi/10.1029/2007GL029988/pdf"" target=""_blank"">Medieval drought in the upper Colorado River Basin<University of Arizona Lab of Tree-Ring Research/a>. Geophysical Research Letters, Vol. 34, L10705."
waterSupplyVariableContent13	Lab of Tree-Ring Research
mainMessage3	The Colorado River Basin’s abundant water storage capacity has made the Southwest more resilient to drought.
coBasinReservoir1	"Basin-wide system storage capacity totals about 60 maf, approximately four times the average annual inflow in the Upper Basin (14.8 maf). The Basin’s two largest reservoirs, Lake Powell and Lake Mead hold about 50 maf combined, approximately 83 percent of the total system storage capacity. This large storage capacity creates a buffer against year-to-year hydrologic variability and longer-term drought periods by allowing excess water to be stored during wet years and used during dry years. "
coBasinReservoir2	"It is this large amount of Basin-wide storage capacity that has allowed Reclamation to continue to meet water delivery requirements during the current drought period. It should be noted, however, that headwater reaches in the Upper Basin sometimes experience localized shortages due to insufficient in-stream flows during dry years."
coBasinReservoir3	Idaho under a foot of water
coBasinReservoir4	The volume of water that can be stored in the Colorado River system reservoirs (60 maf) is enough to cover the state of Utah in about one foot of water. Dimensions shown above are not to scale.
coBasinReservoir5	"Bureau of Reclamation. Colorado River Basin Supply and Demand Study, 2012."
mainMessage4	"Development in the West continues, leading to increased water demand in the Colorado River Basin."
waterUsage1	"Since the early 1900s, water demand in the Colorado River Basin has increased while water supply has, on average, decreased. For the 16-year period preceding the signing of the <a href=""http://www.usbr.gov/lc/region/g1000/pdfiles/crcompct.pdf"" target=""_blank"">1922 Colorado River Compact</a>, when the beneficial consumptive use of 7.5 maf per year was apportioned to both the Upper and Lower Basins, the average annual natural flow in the Upper Basin was about 18.0 maf (1906-1921). When the 1944 U.S.-Mexico Water Treaty was executed, the average annual natural flow in the Upper Basin was about 16.3 maf (1906-1944). The current average annual natural flow in the Upper Basin is about 14.8 maf (1906-2015). "
waterUsage2	"As the average annual natural flow has decreased, the difference between water supply and water demand has narrowed and the Colorado River system has been operating on increasingly close margins. As a result of this decrease in natural flows and an increase in water use basin-wide, it now appears that the Colorado River system is over-allocated (Bureau of Reclamation, 2012)."
waterUsage3	"Climate projections indicate more extreme conditions are possible, with longer, more severe wet and dry periods. Cooperation and collaboration is key to finding sustainable solutions and addressing current and future challenges."
waterUsage4	"Trends in water supply and water use in the Colorado River Basin are shown above. When water use (red line) exceeds the water supply (blue line) in a given year, the amount of water stored is reduced. During the past 20 years, average water supply and average water use have been about equal. Under these conditions, reservoirs are replenished more slowly. Water supply and water use data in the graphic above are estimated by Reclamation using water accounting information, USGS <a href=""http://waterdata.usgs.gov/nwis/wys_rpt/?site_no=09380000&agency_cd=USGS"" target=""_blank"">stream gage data</a>, and other sources."
waterUsage5	"In this graphic, water use is shown as “consumptive use” (surface water diversions and groundwater pumping minus measured and unmeasured return flows) as estimated by Reclamation in its <a href="" http://www.usbr.gov/lc/region/g4000/wtracct.html"" target=""_blank"">annual water accounting reports</a>. Other estimates of water use that account for withdrawals of surface and groundwater and incorporate water that is used and returned to the stream, are made by the USGS."
waterUsage6	"Bureau of Reclamation. 2012. <a href=""http://www.usbr.gov/lc/region/programs/crbstudy/finalreport/index.html"" target=""_blank"">Colorado River Basin Water Supply and Demand Study</a>."
waterUsage7	"Access current reservoir conditions in the <a href=""http://www.usbr.gov/uc/wcao/water/basin/tc_cr.html"" target=""_blank"">Upper Basin</a> and <a href=""http://www.usbr.gov/lc/region/g4000/hourly/hourly.html"" target=""_blank"">Lower Basin</a>."
mainMessage6	"Because of reduced water supply during the current drought, the elevations of Lakes Mead and Powell have declined."
beforeAfter1	"As the reservoir levels of Lake Mead and Lake Powell decline, other resources, such as hydropower, recreation, and water quality, are also impacted."
beforeAfter2	"In the photo sliders above, the change in the surface area of Lakes Mead can be seen from the pre-drought conditions in 1999 to the current drought conditions as of 2014. The red area that emerges represents the loss in the reservoir’s surface area as lake elevations have declined. These maps are based on  <a href=""http://landsat.usgs.gov/"" target=""_blank"">USGS Landsat</a> surface reflectance-corrected images acquired in the month of June in 1999 and 2014. For the composites, Landsat images acquired within 16 days of each other have been merged to generate cloud-free composites suitable for measurement and change comparison."
beforeAfter11	"In the photo sliders above, the change in the surface area of Lake Powell can be seen from the pre-drought conditions in 1999 to the current drought conditions as of 2014. The red area that emerges represents the loss in the reservoir’s surface area as lake elevations have declined. These maps are based on  <a href=""http://landsat.usgs.gov/"" target=""_blank"">USGS Landsat</a> surface reflectance-corrected images acquired in the month of June in 1999 and 2014. For the composites, Landsat images acquired within 16 days of each other have been merged to generate cloud-free composites suitable for measurement and change comparison."
beforeAfter3	"Between 2001 and 2015, Lake Mead’s elevation dropped from 1,196 to 1,075 feet, a decline of 121 feet. As the slider on the upper photo shows, the decline in the reservoir elevation during this time has exposed a white band of mineralized rock around the shoreline. The declining reservoir level has also exposed portions of Hoover Dam’s four intake towers, two on the right side and two on the left side. These intake towers channel water from Lake Mead into penstocks that serve Hoover Dam's 17 hydroelectric generators.  Water moves through the generators, creating electricity on the way, and is released back into the Colorado River below the dam. "
beforeAfter4	"The lower photos show the conditions of Lake Mead and the upstream face of Hoover Dam in 2001 at elevation 1,196 feet (left photo) and the conditions in June 2015 at elevation 1,075 feet (right photo). The lower photos also show the Nevada spillway in the bottom right corner of the photos. "
beforeAfter5	"Reclamation estimates that every 1-foot drop in the elevation of Lake Mead reduces Hoover Dam’s powerplant capacity by approximately 5.7 megawatts.  Since Lake Mead was last full in 2000, Hoover Dam’s powerplant capacity has fallen from 2,074 to 1,563 megawatts (as of August 2015). Reclamation has mitigated some of this impact by replacing traditional turbines with “wide-head” turbines, which are capable of generating more efficiently at lower reservoir levels, and making significant efficiency improvements to the powerplant. "
beforeAfter6	"At Lake Powell, the generating capacity of the Glen Canyon Dam powerplant is put at risk by declining reservoir levels. Below elevation 3,490 feet, Glen Canyon Dam cannot generate power. Based on Reclamation analysis conducted in August 2015, the earliest this is projected to occur is 2019 (about a 5 percent chance of occurring). Since Lake Powell finished filling in 1980, its water surface elevation has fallen to as low as elevation 3,555 feet (33 percent of capacity) in April 2005, approximately 65 feet above minimum power pool."
beforeAfter7	"The photo slider above shows Hemenway Harbor, located the southwestern portion of Lake Mead, with the location of Las Vegas Marina at elevation 1,152 feet in January 2003, and the new location of Las Vegas Marina at elevation 1,078 feet in May 2015. The photos also depict the increased exposure of Lake Mead’s shoreline and the emergence of the Boulder Islands, located on the right side of the photo, as the reservoir elevation declined."
beforeAfter8	"Lake Mead’s declining reservoir elevation has impacted marinas and boat launching facilities at Lake Mead National Recreation Area, requiring the relocation of marinas and the extension of boat ramps to keep recreational facilities open. To continue to provide boat access as reservoir levels have declined, the National Park Service, responsible for the Recreation Area, has been <a href=""http://www.azcentral.com/news/articles/2010/11/01/20101101lake-mead-water-level-down.html"" target=""_blank"">extending boat ramps since 2002</a> and <a href=""http://bouldercityreview.com/sections/news/lake-meadhoover-dam/lake-mead%E2%80%99s-level-rises-slightly.html"" target=""_blank"">planned to spend $5 million extending ramps in 2015</a>. In 2007, the Overton Beach marina became inaccessible by water, and facilities from Overton Beach had to be moved to two other marinas, Callville Bay and Temple Bar. In 2008, Lake Mead Marina was moved from the location it had occupied since the 1960s to its current location in Hemenway Harbor."
beforeAfter9	"In addition to impacting water supply, changing reservoir levels also influence the aquatic ecosystem. Water level changes and natural disturbances, such as storm events and resulting local runoff, can re-suspend sediments. Because some Lake Mead sediments contain contaminants, re-suspension of sediment may be of concern to ecological health (USGS, 2012)."
beforeAfter10	"Illia, T. 2010. <a href=""http://southwest.construction.com/southwest_contractor_news/2010/0927_LakeMeadLevel.asp"" target=""_blank"">Big Drop in Lake Mead Level Curbs Hoover Water, Power</a>. ENR Southwest website."
beforeAfter11	"Kuckro, R., 2014. <a href=""http://southwest.construction.com/southwest_contractor_news/2010/0927_LakeMeadLevel.asp"" target=""_blank"">Receding Lake Mead poses challenges to Hoover Dam's power output</a>. E&amp;E Publishing EnergyWire website."
beforeAfter12	"Rosen, M.R., Turner, K., Goodbred, S.L., and Miller, J.M., eds., 2012, <a href=""http://pubs.usgs.gov/circ/1381/pdf/circ1381.pdf"" target=“_blank"">A Synthesis of Aquatic Science for Management of Lakes Mead and Mojave</a>: U.S. Geological Survey Circular 1381, 162 p. "
mainMessage7	The possibility of a shortage condition in the Lower Basin may result in reduced water deliveries.
lakeMeadStatic1	"Consistent with the 2007 Interim Guidelines, if Lake Mead¥Ë_¥Ë__s January 1 elevation is projected to be 1,075 feet or lower based on an August projection, a Lower Basin shortage condition would be determined. Monthly projections made by Reclamation through an operational model called the ¥Ë_¥Ë__24-Month Study¥Ë_¥Ë__ are used to set the operational conditions for Lake Mead and Lake Powell."
lakeMeadStatic2	"Scroll down to learn more about Lake Mead¥Ë_¥Ë__s operational conditions, how operational conditions are determined, and the potential impacts on water deliveries in the Lower Basin."
lakeMeadStatic3	"<a href=""http://www.usbr.gov/lc/region/programs/climateresearch/Charter_ModelingWorkGroup.pdf"" target=""_blank"">Bureau of Reclamation Colorado River Modeling Work Group Methods</a> take into account temperature, snowpack, precipitation, consumptive use, and other factors, from many data sources beyond operations and observations made by the  Bureau of Reclamation. Other datasets include:"
lakeMeadStatic4	National Oceanic and Atmospheric Administration Colorado River Basin River Forecast Center
lakeMeadStatic5	U.S. Geological Survey Stream Gage Information
lakeMeadStatic6	Reclamation's 24-Month Study reports:
lakeMeadStatic7	Upper Colorado Region Water Operations
lakeMeadStatic8	Lower Colorado Region Water Operations
lakeMeadStatic9	2007 Record of Decision on Colorado River Interim Guidelines for Lower Basin Shortages and the Coordinated Operations for Lake Powell and Lake Mead (2007 Interim Guidelines)
lakeMeadStatic10	"Lake Mead¥Ë_¥Ë__s historical elevations since 2000, projected elevations for the next two years, and annual operating conditions are shown in the figure above."
lakeMeadStatic11	"Since the drought began in 2000, Lake Mead¥Ë_¥Ë__s elevation has declined by nearly 140 feet, declining every year except for 2005 and 2011. Projections of Lake Mead elevations are made by Reclamation and summarized in the <a href=""http://www.usbr.gov/lc/region/g4000/24mo/index.html"" target=""_blank"">Colorado River Basin 24-Month Study reports</a>. The 24-Month Study is Reclamation¥Ë_¥Ë__s monthly operations model, simulating 12 major reservoirs in the Colorado River Basin on a monthly time step for a period of 24 months. These include nine reservoirs in the Upper Basin (Fontenelle, Flaming Gorge, Taylor Park, Blue Mesa, Morrow Point, Crystal, Vallecito, Navajo, and Lake Powell) and three reservoirs in the Lower Basin (Lake Mead, Lake Mohave, and Lake Havasu). Model output is used for annual and monthly decision support for mid-term operations (looking out 1 to 2 years)."
lakeMeadStatic12	"The 24-Month Study utilizes forecasted Upper Basin inflow hydrology (provided by the <a href=""http://www.cbrfc.noaa.gov/"" target=""_blank"">Colorado Basin River Forecast Center</a>), projected reservoir operations, projected diversion and consumptive use schedules, and other factors, to generate a single scenario of potential reservoir conditions."
lakeMeadStatic13	"As Lake Mead¥Ë_¥Ë__s elevation declines, the Lower Basin comes closer to its first ever shortage condition. The annual operating conditions for Lake Mead and Lake Powell in the upcoming year are based on projected January 1 reservoir elevations from the August 24-Month Study consistent with the 2007 Record of Decision on Colorado River Interim Guidelines for Lower Basin Shortages and the Coordinated Operations for Lake Powell and Lake Mead (<a href=""http://www.usbr.gov/lc/region/programs/strategies.html"" target=""_blank"">2007 Interim Guidelines</a>). The January 1 projections and resulting annual operation for Lake Mead and Lake Powell are reported in the Annual Operating Plan for Colorado River Reservoirs (AOP) for the upcoming year. The <a href=""http://www.usbr.gov/lc/region/g4000/AOP2016/AOP16_draft.pdf"" target=""_blank"">draft 2016 AOP</a>, the <a href=""http://www.usbr.gov/lc/region/g4000/aop/AOP15.pdf"" target=""_blank"">2015 AOP</a>, and <a href=""http://www.usbr.gov/lc/region/g4000/aop/index.html"" target=""_blank"">previous years¥Ë_¥Ë__ AOPs</a> can be found on Reclamation¥Ë_¥Ë__s website."
lakeMeadStatic14	"In addition to impacting water supply, impacts of changing reservoir levels also extend to the aquatic ecosystem. Water level changes and natural disturbances, such as storm events and resulting local runoff, can re-suspend sediments. Because some Lake Mead sediments contain contaminants, re-suspension of sediment may be of concern to ecological health (<a href=""http://pubs.usgs.gov/circ/1381/pdf/circ1381.pdf"" target=""_blank"">U.S. Geological Survey, 2012</a>)."
lakeMeadAnimated1	"The Colorado River is one of the the principal sources of water for irrigation and domestic use in Arizona, southern California, southern Nevada, and portions of northwestern Mexico."
lakeMeadAnimated2	"On behalf of the Secretary of the Interior, and pursuant to the <a href=""http://www.usbr.gov/lc/region/pao/pdfiles/supctdec.pdf"" target=""_blank"">Consolidated Decree of the U.S. Supreme Court in Arizona v. California (547 U.S. 150 (2006))</a>, Reclamation¥Ë_¥Ë__s Lower Colorado Region annually provides detailed and accurate records of diversions, return flows, and consumptive use of water delivered from the mainstream of the Colorado River below Lees Ferry to entitlement holders within the Lower Colorado River Basin."
lakeMeadAnimated3	"The pictogram above depicts average consumptive use by select Lower Colorado River water entitlement holders for the 5-year period from 2010-2014. Each blue block represents a volume of 100,000 acre feet and partially shaded blue blocks represent volumes less than 100,000 acre-feet. Mouse over the bars to see the average consumptive use (2010-2014) by select Lower Colorado River entitlement holders (highlighted in yellow)."
lakeMeadAnimated4	"Click <a href=""http://www.usbr.gov/lc/region/g4000/wtracct.html"" target=""_blank"">here</a> to learn more about Lower Colorado River Water Accounting reports and click <a href=""http://www.usbr.gov/lc/region/g4000/contracts/entitlements.html"" target=""_blank"">here</a> to learn more about Lower Colorado River water entitlements and water delivery contracts."
lakeMeadAnimated5	"The pictogram above depicts the elevation range (from approximately 1,200 to 1,229 feet) and annual water deliveries in the Lower Basin when Lake Mead is operating in a Flood Control Surplus Condition. Blue boxes represent delivery to states (not to specific locations within states). When in flood control, Lake Mead¥Ë_¥Ë__s operations are coordinated with the U.S. Army Corps of Engineers, pursuant to the 1984 Field Working Agreement between Reclamation and the U.S. Army Corps of Engineers."
lakeMeadAnimated6	"The operating condition of Lake Mead for the upcoming year is determined by the projected January 1 elevation from Reclamation¥Ë_¥Ë__s August 24-Month Study, consistent with the <a href=""http://www.usbr.gov/lc/region/programs/strategies.html"" target=""_blank"">2007 Interim Guidelines</a> and as reported in the <a href=""http://www.usbr.gov/lc/region/g4000/aop/AOP15.pdf"" target=""_blank"">Annual Operating Plan for Colorado River Reservoirs (AOP)</a>. The 2007 Interim Guidelines, adopted in December 2007 and in effect for an interim period through 2026, provide an objective methodology for determining the operating conditions and annual releases from Lake Powell and Lake Mead throughout the full range of reservoir operations, including low reservoir conditions. The 2007 Interim Guidelines also include criteria for implementing shortage and surplus conditions in the Lower Colorado River Basin."
lakeMeadAnimated7	"In accordance with the <a href=""http://www.ibwc.state.gov/Files/1944Treaty.pdf"" target=""_blank"">1944 U.S.-Mexico Water Treaty</a>, when Lake Mead is operating in flood control, an additional 200,000 acre-feet of water will be delivered to Mexico for a total annual delivery of 1.7 maf."
lakeMeadAnimated8	"A Quantified Surplus Condition or Domestic Surplus Condition exists when Lake Mead¥Ë_¥Ë__s January 1 elevation for the upcoming year is projected to be between 1,145 feet and approximately 1,200 feet. In a surplus condition, entitlement holders in the Lower Basin may take delivery of additional water consistent with applicable surplus entitlements. Click <a href=""http://www.usbr.gov/lc/region/g4000/contracts/entitlements.html"" target=""_blank"">here</a> to find out more about Lower Colorado River water entitlements, surplus entitlements, and water delivery contracts."
